SymptomID,Symptom,Code
1,Fatigue;Fever;Dyspnea;SoreThroat;SputumProduction;,105721009084229001123979008386661006230145002267036007301365009162397003404684003248599002
2,Myalgia;Fever;Chill;,022253000404640003123979008386661006248456009043724002
3,Myalgia;Fatigue;Fever;Dyspnea;,022253000404640003105721009084229001123979008386661006230145002267036007
4,DryCough;Fatigue;Fever;SoreThroat;,049727002011833005105721009084229001123979008386661006301365009162397003
5,Fatigue;Fever;SputumProduction;,105721009084229001123979008386661006404684003248599002
6,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
7,DryCough;Fever;Vomiting;,049727002011833005123979008386661006300359004422400008
8,Fever;Dyspnea;,123979008386661006230145002267036007
9,DryCough;Fever;SputumProduction;,049727002011833005123979008386661006404684003248599002
10,Headache;Fever;SoreThroat;,022253000025064002123979008386661006301365009162397003
11,DryCough;Fatigue;Fever;SoreThroat;,049727002011833005105721009084229001123979008386661006301365009162397003
12,DryCough;Fever;,049727002011833005123979008386661006
13,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
14,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
15,DryCough;Fever;,049727002011833005123979008386661006
16,Myalgia;DryCough;Fever;Dyspnea;,022253000404640003049727002011833005123979008386661006230145002267036007
17,Fever;,123979008386661006
18,DryCough;Dyspnea;,049727002011833005230145002267036007
19,DryCough;Fatigue;Fever;Chill;,049727002011833005105721009084229001123979008386661006248456009043724002
20,DryCough;Fatigue;Fever;SoreThroat;,049727002011833005105721009084229001123979008386661006301365009162397003
21,Fatigue;Fever;,105721009084229001123979008386661006
22,DryCough;Fever;Dyspnea;,049727002011833005123979008386661006230145002267036007
23,Myalgia;Fatigue;Fever;,022253000404640003105721009084229001123979008386661006
24,DryCough;Fever;Dyspnea;,049727002011833005123979008386661006230145002267036007
25,Headache;DryCough;Fever;SputumProduction;,022253000025064002049727002011833005123979008386661006404684003248599002
26,DryCough;Fever;SputumProduction;,049727002011833005123979008386661006404684003248599002
27,DryCough;Fever;,049727002011833005123979008386661006
28,DryCough;Fever;,049727002011833005123979008386661006
29,DryCough;Fever;Dyspnea;,049727002011833005123979008386661006230145002267036007
30,Myalgia;DryCough;Fever;Dyspnea;SoreThroat;SputumProduction;,022253000404640003049727002011833005123979008386661006230145002267036007301365009162397003404684003248599002
31,Fever;Dyspnea;Vomiting;,123979008386661006230145002267036007300359004422400008
32,DryCough;Fever;Dyspnea;Vomiting;SputumProduction;,049727002011833005123979008386661006230145002267036007300359004422400008404684003248599002
33,Fatigue;Fever;Dyspnea;Chill;,105721009084229001123979008386661006230145002267036007248456009043724002
34,Headache;DryCough;Fever;SputumProduction;,022253000025064002049727002011833005123979008386661006404684003248599002
35,Myalgia;Fever;,022253000404640003123979008386661006
36,DryCough;Fatigue;Fever;,049727002011833005105721009084229001123979008386661006
37,DryCough;Fever;SoreThroat;,049727002011833005123979008386661006301365009162397003
38,Myalgia;DryCough;Fever;Dyspnea;,022253000404640003049727002011833005123979008386661006230145002267036007
39,DryCough;Fever;Dyspnea;,049727002011833005123979008386661006230145002267036007
40,Myalgia;DryCough;Fever;,022253000404640003049727002011833005123979008386661006
41,Myalgia;DryCough;Fever;Vomiting;,022253000404640003049727002011833005123979008386661006300359004422400008
